Zmienna_1,Liczba_miast,Ludnosc
Dolnośląskie,,
    miasta  ogółem        towns total,91,"1971,2"
poniżej 20000          below,72,"511,4"
20000 - 99999,17,"707,9"
100000 i więcej       and more,2,"751,9"
Kujawsko-Pomorskie,,
    miasta  ogółem        towns total,52,"1207,4"
poniżej 20000          below,45,"336,7"
20000 - 99999,4,"219,4"
100000 i więcej       and more,3,"651,3"
Lubelskie,,
    miasta  ogółem        towns total,48,"971,7"
poniżej 20000          below,38,"255,5"
20000 - 99999,9,"377,7"
100000 i więcej       and more,1,"338,6"
Lubuskie,,
    miasta  ogółem        towns total,43,"651,9"
poniżej 20000          below,37,"266,4"
20000 - 99999,4,"122,1"
100000 i więcej       and more,2,"263,5"
Łódzkie,,
    miasta  ogółem        towns total,46,"1518,3"
poniżej 20000          below,31,"225,2"
20000 - 99999,14,"620,9"
100000 i więcej       and more,1,"672,2"
Małopolskie,,
    miasta  ogółem        towns total,62,"1639,8"
poniżej 20000          below,50,"395,1"
20000 - 99999,10,"357,2"
100000 i więcej       and more,2,"887,5"
Mazowieckie,,
    miasta  ogółem        towns total,89,"3495,2"
poniżej 20000          below,64,"530,6"
20000 - 99999,22,"842,9"
100000 i więcej       and more,3,"2121,7"
Opolskie,,
    miasta  ogółem        towns total,36,"519,2"
poniżej 20000          below,30,"208,8"
20000 - 99999,5,"182,5"
100000 i więcej       and more,1,"127,8"
Podkarpackie,,
    miasta  ogółem        towns total,51,"877,4"
poniżej 20000          below,41,"255,2"
20000 - 99999,9,"425,6"
100000 i więcej       and more,1,"196,6"
Podlaskie,,
    miasta  ogółem        towns total,40,"713,8"
poniżej 20000          below,32,"165,8"
20000 - 99999,7,"251,1"
100000 i więcej       and more,1,"297,0"
Pomorskie,,
    miasta  ogółem        towns total,42,"1482,8"
poniżej 20000          below,27,"203,4"
20000 - 99999,13,"563,6"
100000 i więcej       and more,2,"715,8"
Śląskie,,
    miasta  ogółem        towns total,71,"3434,5"
poniżej 20000          below,34,"284,5"
20000 - 99999,25,"1137,8"
100000 i więcej       and more,12,"2012,2"
Świętokrzyskie,,
    miasta  ogółem        towns total,44,"555,8"
poniżej 20000          below,39,"180,1"
20000 - 99999,4,"182,3"
100000 i więcej       and more,1,"193,4"
Warmińsko-Mazurskie,,
    miasta  ogółem        towns total,50,"836,4"
poniżej 20000          below,39,"274,8"
20000 - 99999,9,"271,8"
100000 i więcej       and more,2,"289,8"
Wielkopolskie,,
    miasta  ogółem        towns total,113,"1877,3"
poniżej 20000          below,93,"561,2"
20000 - 99999,19,"784,1"
100000 i więcej       and more,1,"532,0"
Zachodniopomorskie,,
    miasta  ogółem        towns total,66,"1152,3"
poniżej 20000          below,55,"329,2"
20000 - 99999,9,"318,6"
100000 i więcej       and more,2,"504,5"
